Recenum,G
10090074,0.098031023
10090075,0.096125788
10090076,0.087652612
10090077,0.069781031
10090078,0.051549312
10090079,0.03745963
10090080,0.02242444
10090081,0.010672137
10090082,0.001976355
10090083,-0.004822071
10090084,-0.008339541
10090085,-0.010544604
10090086,-0.010696435
10090087,-0.010644857
10090088,-0.010156316
10090089,-0.010248659
10090090,-0.010529574
10090091,-0.008529488
10090092,-0.007036993
10090093,-0.006790077
10090094,-0.005164705
10090095,-0.003519098
10090096,-0.003882784
10090097,-0.003644182
10090098,-0.000885082
10090099,-0.002389579
10090100,-0.005451391
10100001,-0.005451385
10100002,-0.004172102
10100003,-0.003703244
10100004,-0.003631879
10100005,-0.005192815
10100006,-0.004978956
10100007,-0.004258739
10100008,-0.006309512
10100009,-0.00775365
10100010,-0.008534748
10100011,-0.009894664
10100012,-0.010357715
10100013,-0.010379515
10100014,-0.011005021
10100015,-0.009865397
10100016,-0.011174321
10100017,-0.009734984
10100018,-0.003599672
10100019,0.002568675
10100020,0.010744073
10100021,0.024766861
10100022,0.038202659
10100023,0.055468495
10100024,0.073606051
10100025,0.090679967
10100026,0.102826133
10100027,0.101988814
10100028,0.08708112
10100029,0.04400131
10100030,-0.037424421
10100031,-0.165392197
10100032,-0.353462462
10100033,-0.612476333
10100034,-0.9448509
10100035,-1.342428559
10100036,-1.793847438
10100037,-2.254210454
10100038,-2.663982336
10100039,-2.936449243
10100040,-2.938726988
10100041,-2.542422587
10100042,-1.613273531
10100043,-0.111180027
10100044,1.511488357
10100045,2.657065509
10100046,3.290219859
10100047,3.522386029
10100048,3.492003868
10100049,3.326434622
10100050,3.110774087
10100051,2.918941458
10100052,2.804266115
10100053,2.751081402
10100054,2.690601205
10100055,2.514621009
10100056,2.074774124
10100057,1.223076347
10100058,-0.095308534
10100059,-1.480962004
10100060,-2.378848454
10100061,-2.762291483
10100062,-2.762678852
10100063,-2.515643695
10100064,-2.128696634
10100065,-1.692891647
10100066,-1.270774405
10100067,-0.890521704
10100068,-0.577953533
10100069,-0.333881594
10100070,-0.153774901
10100071,-0.034343675
10100072,0.040903505
10100073,0.083038164
10100074,0.098478446
10100075,0.097631182
10100076,0.086617094
10100077,0.068601359
10100078,0.053294729
10100079,0.035882559
10100080,0.021949208
10100081,0.011741755
10100082,0.001725596
10100083,-0.004576138
10100084,-0.007765053
10100085,-0.011131726
10100086,-0.010595909
10100087,-0.009996874
10100088,-0.011091748
10100089,-0.010227083
10100090,-0.009664406
10100091,-0.008921365
10100092,-0.007448677
10100093,-0.006643487
10100094,-0.005202537
10100095,-0.003805188
10100096,-0.003801336
10100097,-0.003230163
10100098,-0.000825435
10100099,-0.002028012
10100100,-0.005451391
10110001,-0.005451401
10110002,-0.000857304
10110003,0.000678444
10110004,-0.000401225
10110005,-0.003194465
10110006,-0.00087566
10110007,-0.004668939
10110008,-0.007188676
10110009,-0.006398494
10110010,-0.009576379
10110011,-0.010641248
10110012,-0.009451651
10110013,-0.011122449
10110014,-0.010696868
10110015,-0.01046632
10110016,-0.013304439
10110017,-0.007329767
10110018,-0.003225366
10110019,-0.000305922
10110020,0.010748088
10110021,0.023152169
10110022,0.0345257
10110023,0.051366485
10110024,0.069518117
10110025,0.083244938
10110026,0.092956913
10110027,0.093655572
10110028,0.073458614
10110029,0.026953749
10110030,-0.053130385
10110031,-0.182494089
10110032,-0.369943384
10110033,-0.625963384
10110034,-0.947024472
10110035,-1.336162064
10110036,-1.771164869
10110037,-2.209074585
10110038,-2.596673741
10110039,-2.845621058
10110040,-2.839152103
10110041,-2.442407504
10110042,-1.533562747
10110043,-0.08116762
10110044,1.503228403
10110045,2.651601972
10110046,3.258286922
10110047,3.509215403
10110048,3.528381768
10110049,3.330163736
10110050,3.080977387
10110051,2.85667154
10110052,2.648979142
10110053,2.550461534
10110054,2.498918039
10110055,2.290461439
10110056,1.872886378
10110057,1.117143874
10110058,-0.108300012
10110059,-1.381688204
10110060,-2.200823531
10110061,-2.568033708
10110062,-2.585725627
10110063,-2.372903581
10110064,-2.027902176
10110065,-1.62819593
10110066,-1.239046025
10110067,-0.885054916
10110068,-0.586327119
10110069,-0.355412792
10110070,-0.180720577
10110071,-0.058909808
10110072,0.01897217
10110073,0.059517161
10110074,0.080359085
10110075,0.08481158
10110076,0.074192351
10110077,0.059748422
10110078,0.047462715
10110079,0.032935868
10110080,0.017594537
10110081,0.011586685
10110082,0.001999988
10110083,-0.007007614
